status,product_area,response,justification,request_type
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
replied,assessment,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
replied,billing,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
replied,billing,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,bug
replied,billing,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,feature_request
replied,assessment,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,bug
replied,assessment,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
replied,assessment,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,bug
replied,assessment,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,feature_request
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,feature_request
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,bug
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,feature_request
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,feature_request
escalated,general,This issue requires further review by our support team.,Detected high-risk keyword (stolen) → escalated,product_issue
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,bug
replied,assessment,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,feature_request
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
escalated,fraud,This issue requires further review by our support team.,Detected high-risk keyword (fraud) → escalated,product_issue
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
replied,general,I'm unable to confidently answer this based on available information. Please contact support for further assistance.,No grounded answer extracted from retrieved documentation → using fallback message,product_issue
